,0,1,2,3,4
39,39	19790101	197901	1979	1979.0027											TWN	TAIWAN									1	046	046	04	1	7	3	1	3	5.29411764705882					0	0	0	4	Taiwan Strait, Taiwan (general), Taiwan	TW	TW00	24	119	-2637942	4	Taiwan Strait, Taiwan (general), Taiwan	TW	TW00	24	119	-2637942	20130203
40,40	19790101	197901	1979	1979.0027											TWN	TAIWAN									0	051	051	05	1	3.4	2	1	2	7.73943889068043					0	0	0	4	Chang Tse, Jiayi Xian, Taiwan	TW	TW07	23.4227	120.153	-2635117	4	Dizhou, Guangxi, China	CH	CH16	23.0036	106.359	-1903584	20130203
41,41	19790101	197901	1979	1979.0027											TWN	TAIWAN									0	051	051	05	1	3.4	1	1	1	7.73943889068043					0	0	0	4	Chang Tse, Jiayi Xian, Taiwan	TW	TW07	23.4227	120.153	-2635117	4	Chang Tse, Jiayi Xian, Taiwan	TW	TW07	23.4227	120.153	-2635117	20130203
42,42	19790101	197901	1979	1979.0027											TWN	TAIWAN									0	051	051	05	1	3.4	1	1	1	7.73943889068043					0	0	0	4	Fuda, Fujian, China	CH	CH07	26.7006	118.82	11044526	4	Hsien, Hebei, China	CH	CH10	38.1822	116.111	-1931868	20130203
43,43	19790101	197901	1979	1979.0027											TWN	TAIWAN									0	051	051	05	1	3.4	6	1	6	7.73943889068043					0	0	0	4	Fuda, Fujian, China	CH	CH07	26.7006	118.82	11044526	4	Fuda, Fujian, China	CH	CH07	26.7006	118.82	11044526	20130203
44,44	19790101	197901	1979	1979.0027											TWN	TAIWAN									1	080	080	08	2	5	7	1	7	10.355486862442					0	0	0	4	Chiang-Kuo, Taidong Xian, Taiwan	TW	TW24	22.7596	121.164	10039671	4	Chiang-Kuo, Taidong Xian, Taiwan	TW	TW24	22.7596	121.164	10039671	20130203
45,45	19790101	197901	1979	1979.0027											TWN	TAIWAN									1	080	080	08	2	5	2	1	2	10.355486862442					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
46,46	19790101	197901	1979	1979.0027											TWNGOV	TAIWAN						GOV			1	043	043	04	1	2.8	5	1	5	9.09090909090909					0	0	0	4	Taipeh, T'ai-pei, Taiwan	TW	TW03	25.0478	121.532	-2637882	4	Taipeh, T'ai-pei, Taiwan	TW	TW03	25.0478	121.532	-2637882	20130203
47,47	19790101	197901	1979	1979.0027											UAF	TERRORIST						UAF			1	043	043	04	1	2.8	10	1	10	1.68067226890756					0	0	0	4	Beitbridge, Limpopo, South Africa	SF	SF09	-22.2167	29.9833	-1209924	4	Beitbridge, Limpopo, South Africa	SF	SF09	-22.2167	29.9833	-1209924	20130203
48,48	19790101	197901	1979	1979.0027											USA	UNITED STATES	USA								0	020	020	02	1	3	4	1	4	4.71698113207547					0	0	0	1	United States	US	US	38	-97	0	1	United States	US	US	38	-97	0	20130203,,,,
49,49	19790101	197901	1979	1979.0027											USA	WASHINGTON	USA								0	036	036	03	1	4	7	1	7	6.61921708185053					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
50,50	19790101	197901	1979	1979.0027											USA	UNITED STATES	USA								0	040	040	04	1	1	9	1	9	7.69230769230769					0	0	0	2	Ohio, United States	US	USOH	40.3736	-82.7755	0	2	Ohio, United States	US	USOH	40.3736	-82.7755	0	20130203,,
51,51	19790101	197901	1979	1979.0027											VNM	VIETNAM	VNM								1	051	051	05	1	3.4	7	1	7	4.3956043956044					0	0	0	1	Vietnam, Republic Of	VM	VM	16	106	0	4	Atlantic Ocean, ,	OC	OCOC	10	-25	-1506320	20130203,
52,52	19790101	197901	1979	1979.0027											VNM	HO CHI MINH CITY	VNM								0	195	195	19	4	-10	2	1	2	3.30073349633252					0	0	0	4	Neak Luong, Prey Vê, Cambodia	CB	CB14	11.2756	105.283	-1028941	4	Mekong River, Vietnam (general), Vietnam
53,53	19790101	197901	1979	1979.0027	AFR	AFRICA	AFR																		1	040	040	04	1	1	9	1	9	5.52631578947368					0	0	0					0	0	0					0	0		20130203,,,,
54,54	19790101	197901	1979	1979.0027	AFR	AFRICA	AFR																		0	080	080	08	2	5	10	1	10	10.9792284866469	1	Nigeria	NI	NI	10	8	0					0	0	0	1	Nigeria	NI	NI	10	8	0	20130203,,,,
55,55	19790101	197901	1979	1979.0027	AFR	AFRICA	AFR								FRA	FRENCH	FRA								1	050	050	05	1	3.5	4	1	4	5.52631578947368					0	0	0					0	0	0					0	0		20130203,,,,
56,56	19790101	197901	1979	1979.0027	AFR	AFRICA	AFR								FRAGOV	FRENCH	FRA					GOV			1	043	043	04	1	2.8	9	1	9	5.52631578947368					0	0	0					0	0	0					0	0		20130203,,,,
57,57	19790101	197901	1979	1979.0027	AFR	AFRICA	AFR								ZMB	ZAMBIAN	ZMB								1	100	100	10	3	-5	9	1	9	8.75576036866359					0	0	0					0	0	0					0	0		20130203,,,,
58,58	19790101	197901	1979	1979.0027	ARG	ARGENTINA	ARG								ARGGOVMIL	ARGENTINA	ARG					GOV	MIL		1	172	172	17	4	-5	4	1	4	2.29885057471264	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	20130203,,,,
59,59	19790101	197901	1979	1979.0027	ARG	ARGENTINA	ARG								CHL	CHILE	CHL								1	172	172	17	4	-5	2	1	2	2.29885057471264	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	20130203,,,,
60,60	19790101	197901	1979	1979.0027	ARG	ARGENTINA	ARG								CHL	CHILE	CHL								1	172	172	17	4	-5	2	1	2	2.29885057471264	1	Argentina	AR	AR	-34	-64	0	1	Chile	CI	CI	-30	-71	0	1	Argentina	AR	AR	-34	-64	0	20130203,,,,
61,61	19790101	197901	1979	1979.0027	ARG	ARGENTINA	ARG								VATGOV	VATICAN	VAT					GOV			1	072	072	07	2	8.3	4	1	4	2.29885057471264	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	1	Argentina	AR	AR	-34	-64	0	20130203,,,,
62,62	19790101	197901	1979	1979.0027	ATH	ATHEIST				ATH					MOSGOV	MOSLEM				MOS		GOV			0	120	120	12	3	-4	2	1	2	7.86516853932584	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	4	Mecca, Makkah, Saudi Arabia	SA	SA14	21.4267	39.8261	-3096949	4	Moscow
